ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INH101903532,24111124.0,"Hume Tumse Pyaar Kitna (From ""Hume Tumse Pyaar Kitna"")","Shreya Ghoshal, Raaj Ashoo, Aditya Dev",bollywood,bollywood,501219,"affectionate, heartwarming, sentimental, feel-good, inspirational","acoustic, soft"
INS172002858,31147069.0,"Hey Idi Nenena (From ""Solo Brathuke So Better"")","Thaman S, Sid Sriram",telugu,telugu,501819,"catchy, cheerful, upbeat, carefree, celebratory",dancy
INH100152420,13213253.0,Kaise Mein Kahun Tujhse,KK,"bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, emotional, connecting, heartwarming, intimate","sleep, soft, acoustic, lofi, wind, coffee, self-love"
INH109636750,13216792.0,"Yeh Reshmi Zulfen (From ""Do Raaste"")",Mohammed Rafi,playback,playback,505383,"affectionate, seductive, longing, nostalgic","cleaning, exploring, mornings"
INL232405113,,,,,,,,
INA440900114,17293206.0,Neenendare Nannage Ishta Kaanu,"Sonu Nigam, Priya Hemesh",kannadan,kannadan,501575,"ROMANTIC, MELANCHOLIC, PEACEFUL",
INA090931003,13210726.0,Andam Lo Andhra,"S. P. Balasubrahmanyam, Shreya Ghoshal, Balakrishna, Aasin",telugu,telugu,501819,nostalgic,
INS3I1900081,,,,,,,,
DGA072362729,107993510.0,"Muddu Rakshasi - From "" Vaamana ""","Vijay Prakash, Harshika Devanath, B. Ajaneesh Loknath, V Nagendra Prasad",kannadan,kannadan,501575,ROMANTIC,
INT100000127,18221108.0,Utha Le Jaoonga,"Kumar Sanu, Anuradha Paudwal",bollywood,bollywood,501219,"catchy, cheerful, adventurous",bonding
INW262405900,138074433.0,Ik Tara,Darshan Raval,bollywood,bollywood,501219,"family, blue, chill, fun, raw",soft
INH100363980,25952406.0,Aur Is Dil Mein - Duet,"Suresh Wadkar, Asha Bhosle","bollywood, playback","bollywood, playback","501219, 505383","affectionate, dreamy, heartwarming, entertaining",bonding
INS189110001,22292254.0,Hui Aankh Nam,Anuradha Paudwal,bollywood,bollywood,501219,"mournful, emotional, sorrowful, longing",
INS181600480,16968906.0,Raat Jashan Di,"Yo Yo Honey Singh, Jasmine Sandlas","punjabi, punjabi trap, indian pop","indian pop, punjabi, punjabi trap","501220, 501717, 507791","blue, fun, happy, nostalgic","lofi, urban, workout"
INA090811933,13210511.0,King,"Leslee Lewis, Mamta Mohandas",telugu,telugu,501819,,
INH102216140,95070682.0,Tabla,"Khesari Lal Yadav, Shilpi Raj",bhojpuri,bhojpuri,501310,ROMANTIC,
INT109600012,16594827.0,Tu Kaun Hai Tera Naam Kya,"Kumar Sanu, Sadhana Sargam, Anu Malik","bollywood, indian pop","bollywood, indian pop","501219, 501220","affectionate, cheerful, connecting, heartwarming",sleep
IND291820229,27663459.0,Chumma Kizhi,"S. P. Balasubrahmanyam, Anirudh Ravichander",tamil,tamil,501811,"celebratory, energetic, upbeat","dancy, partying"
INSD11900344,,,,,,,,
INS188810337,36137426.0,,"Lata Mangeshkar, Mohammed Aziz",,,,,
INUM70501132,13225664.0,Kasme Vaade Nibhayenge Hum - Part I - Kasme Vaade / Soundtrack Version,"Kishore Kumar, Lata Mangeshkar",playback,playback,505383,"affectionate, heartwarming, empowering, motivational, nostalgic, yearning",
INA092318781,104906232.0,,"Mahati Swara Sagar, Anurag Kulkarni, Mangli, Kasarla Shyam",,,,,
INH109738660,13216851.0,Payalay Chunmun Chunmun - Duet,"Kumar Sanu, K. S. Chithra",bollywood,bollywood,501219,"affectionate, celebratory, festive",self-love
INM129400225,13218041.0,Roja,"A.R. Rahman, S. P. Balasubrahmanyam, K. S. Chithra","bollywood, south asian classical, indian fusion, pakistani fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, dramatic, nostalgic, sentimental, yearning, cheerful","coffee, sleep, wind"
QMDA61526917,27062525.0,Ondu Aparoopada,"S. P. Balasubrahmanyam, Manjula Gururaj",kannadan,kannadan,501575,PEACEFUL,
INH102202702,79634574.0,Mandaara,Shreya Ghoshal,telugu,telugu,501819,"haunting, melancholic, emotional, bittersweet","driving, beach, lofi, sleep, wind"
INZ031401648,16480463.0,Dolby Walya,"Nagesh Morwekar, Earl Edgar, Mohan Joshi, Bhau Kadam, Girish Kulkarni, Reema, Manava Naik, Saie Tamhankar","marathi, indian pop","indian pop, marathi","501220, 501624","SEXY, PSYCHEDELIC",
INV1G2413466,149221015.0,Chand Ke Par Le Jaiba Ka,Vikki Raj,Others,,,,
INT109100043,13223782.0,Maine Pyar Tumhi Se Kiya Hai,"Anuradha Paudwal, Kumar Sanu",bollywood,bollywood,501219,"affectionate, catchy, heartwarming, soulful",study
INT109800041,13224051.0,Tera Rang Balle Balle,"Sonu Nigam, Jaspinder Narula","indian pop, bollywood","bollywood, indian pop","501219, 501220","celebratory, entertaining, fun","partying, mornings, coffee"
INM402061463,32534351.0,Kushalave Kshemave,"Srinivas, Anuradha Sriram",kannadan,kannadan,501575,"ROMANTIC, INTENSE, PEACEFUL",
INZ031400458,30753884.0,Kaakan,"Shankar Mahadevan, Neha Rajpal",marathi,marathi,501624,"DEPRESSED, ROMANTIC, SERIOUS, RELAXED",
INH100051250,17431565.0,Banthan Ke,"Sukhwinder Singh, Sunidhi Chauhan","indian pop, indian fusion, south asian classical, bollywood","bollywood, indian pop, south asian classical, indian fusion","501219, 501220, 503287, 507684","entertaining, fun","wind, coffee, gaming, revolution, workout"
USUM72501915,145306626.0,twilight zone,Ariana Grande,"pop, alternative","pop, alternative","501120, 501132","sassy, sexy","dancy, urban, late-night, partying"
INS172003956,31933978.0,"Bhalegundi Baalaa (From ""Sreekaram"")","Mickey J. Meyer, Penchal Das, Nutana Mohan",telugu,telugu,501819,"ROMANTIC, PEACEFUL, BLUE",
ING501802382,31066052.0,Butterfly,Jass Manak,"punjabi, indian pop, bollywood","bollywood, indian pop, punjabi","501219, 501220, 501717",bittersweet,daydreaming
INS182006557,31671727.0,Main Balak Tu Mata,Jubin Nautiyal,"indian devotional & spiritual, indian ambient","indian devotional & spiritual, indian ambient","503778, 503782","spiritual, peaceful, soulful, energetic, tranquil",
INH100161760,13213357.0,"Jo Wada Kiya Woh Nibhana Padega, Pt. 1","Mohammed Rafi, Lata Mangeshkar",playback,playback,505383,"ROMANTIC, BLUE, JOYFUL",
INZ031402270,16972625.0,Baarish,"Shashaa Tirupati, Ash King","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy",soft
INZ031400190,27795890.0,Tuzya Priticha Vinchu Chawla,Ajay,marathi,marathi,501624,ROMANTIC,
INZ031418287,146165508.0,"Kithe Gaya Tu Saaiyaan - From ""Kesari Chapter 2""","Shashwat Sachdev, Irshad Kamil, Shanya Kashyap",bollywood,bollywood,501219,ROMANTIC,
USUM71301306,15925786.0,Counting Stars,OneRepublic,"electropop, pop, soft pop, alternative rock, electro house, modern rock, rock, tropical house, dance, hip-hop/rap, alternative, house","pop, hip-hop/rap, rock, alternative, dance, alternative rock, house, electropop, electro house, modern rock, soft pop, tropical house","501120, 501121, 501122, 501132, 501146, 501167, 501175, 501872, 507626, 507735, 507814, 507852","hopeful, inspirational, motivational, upbeat, encouraging, energetic","summer, gaming, roadtrip, driving, sleep"
INS170200088,13220113.0,Babuji Zara Dheere Chalo,"Sandeep Chowta, Sukhwinder Singh, Sonu Kakkar","indian pop, indian fusion","indian pop, indian fusion","501220, 507684","nostalgic, fun, happy, funny, upbeat, hype","workout, wind"
INS181103500,13222581.0,Katiya Karun,Harshdeep Kaur,"indian fusion, south asian classical, pakistani fusion, bollywood","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","happy, chill, nostalgic, fun, upbeat","bonding, daydreaming, late-night, drinking, self-love"
INT109800039,13224050.0,Soldier Soldier Meethi Baaten,"Kumar Sanu, Alka Yagnik",bollywood,bollywood,501219,"affectionate, heartwarming, entertaining, upbeat",running
INS172201645,81755536.0,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")","Vishal Chandrashekhar, S.P. Charan, Ramya Behara",telugu,telugu,501819,"emotional, heartwarming, relaxed, contemplative, festive","soft, driving, sleep, sleeping, study, daydreaming, focus"
INU151200113,13225442.0,Kyon,"Pritam, Sunidhi Chauhan","south asian classical, pakistani fusion, bollywood, indian fusion, new romantic, sufi rock, indie soul","bollywood, south asian classical, indian fusion, indie soul, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507687, 507743, 507755, 507824","heartwarming, emotional, feel-good, moving, cheerful, affectionate",bonding
INS180241150,22867225.0,"Bindiya Chamke, Choodi Khanke","Alka Yagnik, Sonu Nigam","bollywood, indian pop","bollywood, indian pop","501219, 501220","ROMANTIC, PEACEFUL",
INS171000197,13220627.0,Gal Mitthi Mitthi,"Amit Trivedi, Tochi Raina","indian fusion, indian pop, pakistani fusion, south asian classical","indian pop, south asian classical, indian fusion, pakistani fusion","501220, 503287, 507684, 507755","reflective, sentimental, affectionate, dreamy","workout, roadtrip, wind, working"
DGA0L2490630,138076634.0,Talashi,"Mankirt Aulakh, Street Boy",punjabi,punjabi,501717,"chill, adrenaline, happy, nostalgic","workout, focus, gaming, wind"
INSD11948383,140100033.0,Sit Down Son,"Navaan Sandhu, RXTRO, Avvy",punjabi,punjabi,501717,"energetic, entertaining, upbeat, celebratory, affectionate, connecting",workout
INUM70500055,13225507.0,Dola Re Dola - Devdas / Soundtrack Version,"Kavita Krishnamurthy, Shreya Ghoshal, KK","south asian classical, indian pop, indian fusion, bollywood","bollywood, indian pop, south asian classical, indian fusion","501219, 501220, 503287, 507684","fun, happy, nostalgic, free",running
INT101800031,19293781.0,Heeriye,"Deep Money, Neha Bhasin, Salman Khan, Jacqueline Fernandez","indian pop, indian fusion","indian pop, indian fusion","501220, 507684","celebratory, emotional, upbeat, glamorous, sensual, festive","workout, gaming, morning, roadtrip, dancy"
INT102201160,86469204.0,"Ponni Nadhi (From ""Ponniyin Selvan Part -1"") [Tamil]","A.R. Rahman, A. R. Reihana, Bamba Bakya, Ilango Krishnan",tamil,tamil,501811,"chill, free, happy, fun","workout, driving, morning"
INS179900002,13222365.0,Pyaar Ke Pal,KK,"bollywood, south asian classical, pakistani fusion, indian fusion, sufi rock","bollywood, south asian classical, indian fusion, pakistani fusion, sufi rock","501219, 503287, 507684, 507755, 507824","affectionate, dreamy, heartwarming, intimate",bonding
FR10S2584456,143252575.0,Boli Pyari Lage,"Kheta Khan, Kailash Jangid",indian,indian,501540,"WARM, DARK",
INT102501214,147743152.0,"Asura Hananam (From ""Hari Hara Veera Mallu"") [Telugu]","M. M. Keeravaani, Airaa Udupi, Kala Bhairava, Saicharan Bhaskaruni, Lokeshwar Edara, Hymath Mohammed, Rambabu Gosala",soundtrack,soundtrack,501139,,
INS170500014,13220224.0,Mohabbatein Lutaaunga,Abhijeet Sawant,"bollywood, indian pop","bollywood, indian pop","501219, 501220","ROMANTIC, BLUE, PEACEFUL, SEDUCTIVE, WARM",
FRUM71400048,12278486.0,Love Story,Indila,"pop, rock","pop, rock","501120, 501122","melancholic, nostalgic, emotional, dreamy, whimsical, eerie","sleep, study, soft, summer, gaming"
FR10S2385254,99228838.0,Mote Peg,"Sumit Parta, Shine, Isha Sharma",haryanvi,haryanvi,501514,"celebratory, entertaining, fun, energetic, festive, lively",partying
FR2X42553855,143705262.0,Brush Off,"Cheema Y, Gur Sidhu",punjabi,punjabi,501717,"SEXY, ROMANTIC",
INS189710059,32706277.0,Shaam Hai Dhuvan Dhuvan,"Ajay Devgan, Poornima",bollywood,bollywood,501219,"ROMANTIC, PEACEFUL",
INT109900196,19048760.0,Jab Se Tumhein,Anuradha Paudwal,bollywood,bollywood,501219,"affectionate, intimate, heartwarming, sentimental, soulful",
INM231900557,63420993.0,2 Numbari,"Masoom Sharma, Manisha Sharma","haryanvi, punjabi trap","haryanvi, punjabi trap","501514, 507791","chill, powerful, catchy, heavy","workout, gaming, rural, urban"
INS182402608,136310795.0,Senura Lagave Aaja,"Ankush Raja, Priyanka Singh",bhojpuri,bhojpuri,501310,soulful,
INT131200500,,,,,,,,
INA091314142,13211285.0,Nee Jathaga,"Karthik, Shreya Ghoshal, Ramcharan, Allu Arjun, Shruti Haasan, AmyJackson",telugu,telugu,501819,"happy, chill, free, peaceful, fun, nostalgic","soft, sleep"
INZ031400530,20645061.0,Journey Song,"Anupam Roy, Shreya Ghoshal","indian fusion, south asian classical, bollywood, pakistani fusion, indie soul","bollywood, south asian classical, indian fusion, indie soul, pakistani fusion","501219, 503287, 507684, 507687, 507755","chill, soothing, happy","roadtrip, soft"
INZ031403749,22665115.0,Piyu Bole,"Sonu Nigam, Shreya Ghoshal","bollywood, south asian classical, indian fusion, pakistani fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, bittersweet, heartwarming, melancholic","soft, sleep, coffee, lofi, morning"
INH109450730,19784322.0,"Aane Se Uske Aaye Bahar, Pt. 2","Mohammed Rafi, Laxmikant–Pyarelal","playback, bollywood","bollywood, playback","501219, 505383","ROMANTIC, JOYFUL, PEACEFUL",
US38Y2500223,142432863.0,Taaza Taaza Khabrein,"Gurnazar, Rahat Fateh Ali Khan",bollywood,bollywood,501219,"DARK, ROMANTIC, HEARTBROKEN, PEACEFUL",
INT109500046,13223908.0,Main Toh Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu","bollywood, indian pop","bollywood, indian pop","501219, 501220","melancholic, longing, nostalgic, sorrowful","sleep, workout"
INS181402297,22276762.0,Joker,"Harrdy Sandhu, B Praak","pakistani fusion, punjabi, bollywood, south asian classical, indian fusion","bollywood, punjabi, south asian classical, indian fusion, pakistani fusion","501219, 501717, 503287, 507684, 507755","chill, soothing, emotional","sleep, coffee, lofi, soft"
INZ031400006,22601816.0,Udja Kale Kawan - Marriage,"Alka Yagnik, Udit Narayan",bollywood,bollywood,501219,"chill, emotional, cheerful, fun, happy, soothing",sleep
INA090912359,13210622.0,Assalaam Valekum (Adurs),"Baba Sehgal, Priya Hemesh",telugu,telugu,501819,"BLUE, JOYFUL",
INS181701716,16481711.0,"Lift Teri Bandh Hai (From ""Judwaa 2"")","Anu Malik, Neha Kakkar, Sandeep Shirodkar","indian pop, indian fusion","indian pop, indian fusion","501220, 507684","SERIOUS, LONELY, ROMANTIC, SEXY, JOYFUL",
INA440900147,13211863.0,Maleyali Jotheyali,"Sonu Nigam, Jayant Kaikini",kannadan,kannadan,501575,"catchy, dynamic, free","focus, roadtrip, traveling"
INS182101022,56128581.0,"Desh Mere (From ""Bhuj The Pride Of India"")","Arijit Singh, Arko, Manoj Muntashir","bollywood, indian pop","bollywood, indian pop","501219, 501220","anthemic, patriotic, cathartic, emotional, celebratory, dramatic, empowering, motivational",
INS172104096,63343258.0,Saawariya,"Aastha Gill, Kumar Sanu, Arjun Bijlani","indian fusion, indian pop, bollywood","bollywood, indian pop, indian fusion","501219, 501220, 507684","upbeat, celebratory, energetic, entertaining, festive",dancy
INS182203251,93246092.0,"Jhaanjar (From ""Honeymoon"")","B Praak, Jaani","punjabi, pakistani fusion, punjabi trap","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","HEARTBROKEN, RELAXED, ROMANTIC, PEACEFUL, DARK",
INH100051290,27347561.0,Tu Ne Mujhe Bulaya,"Mohammed Rafi, Narendra Chanchal, Laxmikant–Pyarelal","indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
INS181905023,25729832.0,"Shaitan Ka Saala (From ""Housefull 4"")","Sohail Sen, Vishal Dadlani","indian pop, indian fusion, pakistani fusion","indian pop, indian fusion, pakistani fusion","501220, 507684, 507755","fun, happy, chill, hype, energetic","workout, partying"
INS7A2647397,122430201.0,Rangdar Se Sikh Rangdari,Ankita Singh,Others,,,,
ING642424514,140155672.0,Abhi Batiya Ba,"Khesari Lal Yadav, Shilpi Raj",Others,,,ROMANTIC,
INUM72500370,146248201.0,Rozaana,Akshath,"bollywood, indian, indie, indian pop","bollywood, indian pop, indian, indie","501219, 501220, 501540, 501541",ROMANTIC,
INS171301169,13221546.0,Koodamela Koodavechi,"D. Imman, VV Prassanna, Vandana Srinivasan",tamil,tamil,501811,"celebratory, happy, playful, relaxed","sleep, sleeping, soft, morning, roadtrip, wind"
GBAHS1400094,12449351.0,,Ed Sheeran,,,,,
INZ031401256,16525991.0,Aatach Baya Ka Baavarla,"Shreya Ghoshal, Rinku Rajguru, Akash Thosar",marathi,marathi,501624,"chill, funky, family, fun, happy, nostalgic, refreshing","coffee, roadtrip"
INS181904200,24675934.0,Gur Nalo Ishq Mitha - The Yoyo Remake,"Yo Yo Honey Singh, Malkit Singh","indian fusion, indian pop, pakistani fusion, punjabi trap, punjabi","indian pop, punjabi, indian fusion, pakistani fusion, punjabi trap","501220, 501717, 507684, 507755, 507791","fun, chill, energetic, family, hype","workout, urban"
INA092117504,33833517.0,Laahe Laahe,"Mani Sharma, Harika Narayan, Sahithi Chaganti",telugu,telugu,501819,"WARM, ROMANTIC, PEACEFUL, JOYFUL",
INS232104027,83962546.0,Chaki Niche Bhoot (feat. Sapna Chaudhary),"Renuka Panwar, Sapna Chaudhary",haryanvi,haryanvi,501514,,
INH100062710,13212981.0,Palike Gorinka,Sadhana Sargam,telugu,telugu,501819,"emotional, dramatic, heartwarming, upbeat","wind, sleep, driving, sleeping"
IND292211634,113993683.0,Up Se,"Rohit Sardhana, Harendra Nagar",haryanvi,haryanvi,501514,LONELY,
INM431600001,13218912.0,Half Window Down,Ikka,"punjabi, indian pop","indian pop, punjabi","501220, 501717",,
FR96X2567871,,,,,,,,
INA091112928,13210985.0,Nalupu,"Suchith Santoshan, Rita Thyagarajan",telugu,telugu,501819,"PEACEFUL, JOYFUL, SEXY, ROMANTIC",
INM6E9600549,26057457.0,Maaya Machindhra,"S. P. Balasubrahmanyam, Swarnalatha",Others,,,,
INZ031406586,27661645.0,Raanjhana,"Asad Khan, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy",soft
IND292202991,80419219.0,The Monster Song,"Ravi Basrur, Adithi Sagar",tamil,tamil,501811,,
INY090000007,16479010.0,Zinda Rehti Hain Unki Mohabbatein,"Jatin-Lalit, Lata Mangeshkar, Anand Bakshi",bollywood,bollywood,501219,"nostalgic, chill, fun, soulful",nature
INM6E9300482,26057455.0,Chikkubukku Chikkubukku Railea,Suresh Peters,Others,,,,
IND292206683,93574095.0,Karma Song,"B. Ajaneesh Loknath, Venkatesh D C","kannadan, pop, soundtrack","pop, soundtrack, kannadan","501120, 501139, 501575","PEACEFUL, DARK, ROMANTIC, MELANCHOLIC, LONELY",
INS182000915,29462692.0,Tere Naal,"Tulsi Kumar, Darshan Raval","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","happy, chill, soothing, soulful","lofi, soft, sleep"
INS172500323,144349302.0,Nadaaniyan (Title Song),"Sachin-Jigar, Varun Jain, Jonita Gandhi, Amitabh Bhattacharya",bollywood,bollywood,501219,"carefree, fun, youthful, catchy, cheerful, playful, upbeat",
FRX202587348,147799006.0,Chumma Hachakka,Samar Singh,Others,,,,
BEHP42500003,145311834.0,Dance In The Sunlight (feat. Bandit),"Lost Frequencies, Bandit","pop, dance, electronic, alternative, hip-hop/rap","pop, hip-hop/rap, electronic, alternative, dance","501120, 501121, 501124, 501132, 501146","energetic, carefree, dreamy, uplifting","dancy, summer"
USSM11300080,15790443.0,Sweater Weather,The Neighbourhood,"indie pop, electropop, alternative rock, bedroom pop, psychedelic, soft pop, modern rock, hip-hop/rap, dark pop, pop, folk pop, industrial pop","pop, hip-hop/rap, psychedelic, indie pop, alternative rock, electropop, folk pop, bedroom pop, dark pop, industrial pop, modern rock, soft pop","501120, 501121, 501135, 501160, 501167, 501872, 504574, 507574, 507611, 507691, 507735, 507814","affectionate, connecting, intimate, cozy, heartwarming",reassured
INM401100316,27051965.0,Kaddalu Manasanna,Kunal Ganjawala,kannadan,kannadan,501575,"ROMANTIC, WARM",
INM432100139,57315097.0,Farming,"Laddi Chahal, Gurlez Akhtar","punjabi, indian hip-hop/rap, punjabi trap","indian hip-hop/rap, punjabi, punjabi trap","501221, 501717, 507791",fun,"rural, bonding, workout"
INH102413244,138636392.0,"Uyirey (From ""Amaran"") (Tamil)","G. V. Prakash, Nakul Abhyankar, Ramya Bhat Abhyankar, Vivek",tamil,tamil,501811,"connecting, soulful, longing, melancholic, nostalgic","sleep, roadtrip, sleeping, soft, study"
INUM70503075,17702419.0,Thoda Hai - Khatta Meetha / Soundtrack Version,"Lata Mangeshkar, Kishore Kumar",playback,playback,505383,ROMANTIC,
FRX201909536,26886220.0,Yavanig Gotthu,Tippu,kannadan,kannadan,501575,"ROMANTIC, PEACEFUL",
INS390500109,30193836.0,Kannmoodi Thirakkum,Devi Sri Prasad,tamil,tamil,501811,"chill, happy, nostalgic, soothing","sleep, sleeping"
INZ031400060,22856142.0,Khel Mandala,Ajay Gogavale,marathi,marathi,501624,"ROMANTIC, INTENSE, WARM",
INT109200046,13223799.0,Hum Laakh Chupaye,"Asha Bhosle, Kumar Sanu",bollywood,bollywood,501219,"dreamy, affectionate, mellow",sleep
INM432400265,136496346.0,Hamar Lekha Marad,"Neelkamal Singh, Shilpi Raj",bhojpuri,bhojpuri,501310,,
INS188910090,28822240.0,,Anuradha Paudwal,,,,,
FRS182073080,31800078.0,Bachalo,Akhil,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","dreamy, affectionate, celebratory","urban, wind, lofi, morning, noise, sleep, soft"
INA362000010,30421986.0,Sulfa,"Sapna Choudhary, Vikas Hammi",haryanvi,haryanvi,501514,"entertaining, celebratory, fun, upbeat, empowering","partying, drinking"
FR59R2115687,33836726.0,Pani Di Gal,"Maninder Buttar, Asees Kaur, MixSingh","punjabi, pakistani fusion, punjabi trap, indian fusion","punjabi, indian fusion, pakistani fusion, punjabi trap","501717, 507684, 507755, 507791","bittersweet, affectionate, nostalgic, catchy, entertaining, fun","soft, background, coffee, study, focus, summer"
INA090711278,13210413.0,Edhuta Nilichindhi,Karthik,telugu,telugu,501819,"DEPRESSED, WARM, ROMANTIC, PEACEFUL, SERIOUS",
INH100630203,13215103.0,Unnaale Unnaale,"Karthik, Harini, Krishh",tamil,tamil,501811,"affectionate, carefree, chill",sleep
INT102400359,116353287.0,"Anjanadri Theme Song (From ""HanuMan"") [Telugu]","GowraHari, Saicharan Bhaskaruni, Siva Sakthi Datta",telugu,telugu,501819,"anthemic, celebratory, inspirational, contemplative, intriguing",worshipping
INS171000277,13220655.0,Sada Siva,"Mani Sharma, Ramesh Vinayakam, Karunya",telugu,telugu,501819,"INTENSE, PEACEFUL, ROMANTIC, BLUE",
DGA062475088,125994799.0,Kassam,Garry Sandhu,punjabi,punjabi,501717,"chill, soulful, vibrant, dynamic, energetic, family",soft
INA090930087,13210644.0,Kala Anuko Kalad Anuko,"Hari Haran, Maha Lakshmi",telugu,telugu,501819,"PEACEFUL, ROMANTIC, JOYFUL",
INA090209152,13209895.0,Andaala Raakshsive,"S. P. Balasubrahmanyam, Harini",telugu,telugu,501819,"ROMANTIC, WARM, PEACEFUL",
INH109241430,26406454.0,Jhilmil Sitaron Ka Angan Hoga - Duet,"Lata Mangeshkar, Mohammed Rafi, Laxmikant–Pyarelal",playback,playback,505383,"ROMANTIC, JOYFUL, PEACEFUL","mornings, summer"
QMDA72294607,96594334.0,Her,Shubh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","affectionate, longing","urban, sleep, workout, soft, lofi"
INA091715479,13211512.0,Emitemitemo,"Alphonse, Radhan, Shalini Pandey",telugu,telugu,501819,"ROMANTIC, WARM, PEACEFUL, MELANCHOLIC, DARK",
INS172306640,103890086.0,Hasi Ban Gaye,"Ami Mishra, Kunaal Vermaa, KASYAP, VIBIE","bollywood, pakistani fusion, new romantic, south asian classical, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy, soothing, peaceful","lofi, sleep, soft"
INA092519897,145624253.0,Konte Konte,"Bheems Ceciroleo, Rohini Soratt, Purnachary","soundtrack, indian","soundtrack, indian","501139, 501540",,
INT102305398,133577186.0,"Tumse Milke (From ""Tedi Medi"")","Sameer Khan, R. D. Burman, Sanjeev Darshan, Priyanka R Bala, Khurshid Hallauri","pop, bollywood, alternative, dance, indian, indie","pop, alternative, dance, bollywood, indian, indie","501120, 501132, 501146, 501219, 501540, 501541",,
IND862408829,141614306.0,Palela Popat (Jab Tak Hai Tiger Jinda),"Pintu Algotar, Dj Ashish","gujarati, garba","gujarati, garba","501507, 505374",,
INS180461117,22688856.0,Gori Gori Gori Gori,"Anu Malik, KK, Shreya Ghoshal, Sunidhi Chauhan, Shah Rukh Khan, Sunil Shetty, Susmit Sen, Zayed Khan, Amrita Rao","indian pop, indian fusion, south asian classical","indian pop, south asian classical, indian fusion","501220, 503287, 507684","happy, fun, nostalgic, hype, chill, funky",
INA091213853,13211199.0,Mirchi,"Chinna Ponnu, Prabhas, Anushka, Richa Gangaopadhay",telugu,telugu,501819,"hype, nostalgic, chill, adrenaline, energetic, fun, happy","workout, driving"
QMBZ91570645,13839442.0,,Puneeth Rajkumar,,,,,
INA1I2105691,55262052.0,Badmash,KD,haryanvi,haryanvi,501514,BLUE,
INUM72100052,56612455.0,Bachpan Ka Pyaar,"Badshah, Aastha Gill, Sahdev Dirdo, Rico","indian fusion, indian pop","indian pop, indian fusion","501220, 507684","bittersweet, childlike, heartwarming, entertaining, festive, fun",workout
INA092519871,144373882.0,Bujji Thalli (Happy Version),"Devi Sri Prasad, Sameera Bharadwaj, Shree Mani","soundtrack, indian","soundtrack, indian","501139, 501540",,
INS171101297,13220998.0,Maalai Yen Vedhanai,"Ilaiyaraaja, Unnikrishnan, Arunmozhi",tamil,tamil,501811,"REFLECTIVE, WARM, ROMANTIC, PEACEFUL, LONELY",
INS171200247,13221078.0,Nee Paata Madhuram - The Touch of Love,"Anirudh Ravichander, Roop Kumar Rathod, Shreya Ghoshal",telugu,telugu,501819,"chill, healing, nostalgic","sleep, driving, sleeping, coffee, focus"
INY091400003,17068593.0,Jiya,"Sohail Sen, Arijit Singh, Irshad Kamil","bollywood, south asian classical, pakistani fusion, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, dreamy, dramatic, heartwarming, lively, sensual, sentimental","soft, sleep"
INA090209171,19468998.0,Oka Devata -Male,"S. P. Balasubrahmanyam, Soundarya",telugu,telugu,501819,ROMANTIC,
GBKPL2205058,92050390.0,End of Beginning,Djo,"indie pop, soft pop, bedroom pop, psychedelic, alternative rock, electropop, modern rock, folk pop, pop, indie soul, alternative","pop, alternative, psychedelic, indie pop, alternative rock, electropop, folk pop, bedroom pop, indie soul, modern rock, soft pop","501120, 501132, 501135, 501160, 501167, 501872, 504574, 507574, 507687, 507735, 507814","nostalgic, reflective, cathartic, emotional, hopeful, introspective, healing","summer, sleep, soft, coffee, wind"
